name,version,author,date
ah,1,skeddles,2019-03-10
animeglasses,1,nayz,2023-03-27
awooga,1,nayz,2023-03-27
birb,1,skeddles,2020-07-13
bird,2,skeddles,2024-06-09
blap,1,skeddles,2023-03-31
blushy,1,urablob,2023-04-17
clench,1,skeddles,2019-03-10
colors,1,skeddles,2019-03-12
coolestpersoneverrighthere,1,skeddles,2019-03-10
cute,1,skeddles,2019-03-14
disturbed,1,skeddles,2019-03-10
drooly,1,skeddles,2019-03-10
ducky,1,pit,2023-03-28
flatten,1,beeno,2023-03-27
frown,1,skeddles,2019-03-10
grinny,1,skeddles,2019-03-10
haha,1,skeddles,2019-03-12
happy,1,skeddles,2019-03-10
hmm,1,skeddles,2019-03-10
jimface,1,skeddles,2023-03-28
krita,1,paultron,2023-03-29
love,1,skeddles,2019-03-10
miffed,1,skeddles,2019-03-10
nerdy,1,nayz,2023-03-27
nopixels,1,nayz,2023-03-27
nothing,1,skeddles,2019-03-10
pizzi,1,skeddles,2021-03-10
pikzel,1,skeddles,2023-05-30
pp,1,skeddles,2019-03-10
prideflag,1,qirlfriend,2024-06-01
reallygrrl,1,skeddles,2023-03-31
rocksus,1,nayz,2023-03-27
sadd,1,beeno,2023-03-27
shocked,1,skeddles,2019-03-10
shudder,1,skeddles,2019-03-10
shy,1,skeddles,2019-03-10
sin,1,skeddles,2023-03-31
smiles,1,skeddles,2019-03-10
sobby,1,skeddles,2019-03-10
sweaty,1,skeddles,2019-03-10
thatssomeoddshtt,1,skeddles,2023-03-31
transflag,1,qirlfriend,2024-04-12
transflag,2,qirlfriend,2024-06-01
upsydownsy,1,skeddles,2019-03-10
waitwhat,1,nayz,2023-03-27
widesmile,1,skeddles,2019-03-11
winka,1,skeddles,2024-04-01
yeet,1,pure_asbestos,2019-10-10
yeet,2,starlane,2020-05-23
yeet,3,skeddles,2020-05-23
